service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Mon-Tue-Wed-Thu-Fri-Sat-Sun,1,1,1,1,1,1,1,20251219,20260119
Mon-Tue-Wed-Thu-Fri-Sat,1,1,1,1,1,1,0,20251219,20260119
Mon-Tue-Wed-Thu-Fri-Sun,1,1,1,1,1,0,1,20251219,20260119
Mon-Tue-Wed-Thu-Fri,1,1,1,1,1,0,0,20251219,20260119
Mon-Tue-Wed-Thu-Sat-Sun,1,1,1,1,0,1,1,20251219,20260119
Mon-Tue-Wed-Thu-Sat,1,1,1,1,0,1,0,20251219,20260119
Mon-Tue-Wed-Thu-Sun,1,1,1,1,0,0,1,20251219,20260119
Mon-Tue-Wed-Thu,1,1,1,1,0,0,0,20251219,20260119
Mon-Tue-Wed-Fri-Sat-Sun,1,1,1,0,1,1,1,20251219,20260119
Mon-Tue-Wed-Fri-Sat,1,1,1,0,1,1,0,20251219,20260119
Mon-Tue-Wed-Fri-Sun,1,1,1,0,1,0,1,20251219,20260119
Mon-Tue-Wed-Fri,1,1,1,0,1,0,0,20251219,20260119
Mon-Tue-Wed-Sat-Sun,1,1,1,0,0,1,1,20251219,20260119
Mon-Tue-Wed-Sat,1,1,1,0,0,1,0,20251219,20260119
Mon-Tue-Wed-Sun,1,1,1,0,0,0,1,20251219,20260119
Mon-Tue-Wed,1,1,1,0,0,0,0,20251219,20260119
Mon-Tue-Thu-Fri-Sat-Sun,1,1,0,1,1,1,1,20251219,20260119
Mon-Tue-Thu-Fri-Sat,1,1,0,1,1,1,0,20251219,20260119
Mon-Tue-Thu-Fri-Sun,1,1,0,1,1,0,1,20251219,20260119
Mon-Tue-Thu-Fri,1,1,0,1,1,0,0,20251219,20260119
Mon-Tue-Thu-Sat-Sun,1,1,0,1,0,1,1,20251219,20260119
Mon-Tue-Thu-Sat,1,1,0,1,0,1,0,20251219,20260119
Mon-Tue-Thu-Sun,1,1,0,1,0,0,1,20251219,20260119
Mon-Tue-Thu,1,1,0,1,0,0,0,20251219,20260119
Mon-Tue-Fri-Sat-Sun,1,1,0,0,1,1,1,20251219,20260119
Mon-Tue-Fri-Sat,1,1,0,0,1,1,0,20251219,20260119
Mon-Tue-Fri-Sun,1,1,0,0,1,0,1,20251219,20260119
Mon-Tue-Fri,1,1,0,0,1,0,0,20251219,20260119
Mon-Tue-Sat-Sun,1,1,0,0,0,1,1,20251219,20260119
Mon-Tue-Sat,1,1,0,0,0,1,0,20251219,20260119
Mon-Tue-Sun,1,1,0,0,0,0,1,20251219,20260119
Mon-Tue,1,1,0,0,0,0,0,20251219,20260119
Mon-Wed-Thu-Fri-Sat-Sun,1,0,1,1,1,1,1,20251219,20260119
Mon-Wed-Thu-Fri-Sat,1,0,1,1,1,1,0,20251219,20260119
Mon-Wed-Thu-Fri-Sun,1,0,1,1,1,0,1,20251219,20260119
Mon-Wed-Thu-Fri,1,0,1,1,1,0,0,20251219,20260119
Mon-Wed-Thu-Sat-Sun,1,0,1,1,0,1,1,20251219,20260119
Mon-Wed-Thu-Sat,1,0,1,1,0,1,0,20251219,20260119
Mon-Wed-Thu-Sun,1,0,1,1,0,0,1,20251219,20260119
Mon-Wed-Thu,1,0,1,1,0,0,0,20251219,20260119
Mon-Wed-Fri-Sat-Sun,1,0,1,0,1,1,1,20251219,20260119
Mon-Wed-Fri-Sat,1,0,1,0,1,1,0,20251219,20260119
Mon-Wed-Fri-Sun,1,0,1,0,1,0,1,20251219,20260119
Mon-Wed-Fri,1,0,1,0,1,0,0,20251219,20260119
Mon-Wed-Sat,1,0,1,0,0,1,0,20251219,20260119
Mon-Wed-Sun,1,0,1,0,0,0,1,20251219,20260119
Mon-Wed,1,0,1,0,0,0,0,20251219,20260119
Mon-Thu-Fri-Sat-Sun,1,0,0,1,1,1,1,20251219,20260119
Mon-Thu-Fri-Sat,1,0,0,1,1,1,0,20251219,20260119
Mon-Thu-Fri-Sun,1,0,0,1,1,0,1,20251219,20260119
Mon-Thu-Fri,1,0,0,1,1,0,0,20251219,20260119
Mon-Thu-Sat-Sun,1,0,0,1,0,1,1,20251219,20260119
Mon-Thu-Sat,1,0,0,1,0,1,0,20251219,20260119
Mon-Thu-Sun,1,0,0,1,0,0,1,20251219,20260119
Mon-Thu,1,0,0,1,0,0,0,20251219,20260119
Mon-Fri-Sat,1,0,0,0,1,1,0,20251219,20260119
Mon-Fri-Sun,1,0,0,0,1,0,1,20251219,20260119
Mon-Fri,1,0,0,0,1,0,0,20251219,20260119
Mon-Sat-Sun,1,0,0,0,0,1,1,20251219,20260119
Mon-Sat,1,0,0,0,0,1,0,20251219,20260119
Mon-Sun,1,0,0,0,0,0,1,20251219,20260119
Mon,1,0,0,0,0,0,0,20251219,20260119
Tue-Wed-Thu-Fri-Sat-Sun,0,1,1,1,1,1,1,20251219,20260119
Tue-Wed-Thu-Fri-Sun,0,1,1,1,1,0,1,20251219,20260119
Tue-Wed-Thu-Fri,0,1,1,1,1,0,0,20251219,20260119
Tue-Wed-Thu-Sat-Sun,0,1,1,1,0,1,1,20251219,20260119
Tue-Wed-Thu-Sat,0,1,1,1,0,1,0,20251219,20260119
Tue-Wed-Thu-Sun,0,1,1,1,0,0,1,20251219,20260119
Tue-Wed-Thu,0,1,1,1,0,0,0,20251219,20260119
Tue-Wed-Fri-Sat-Sun,0,1,1,0,1,1,1,20251219,20260119
Tue-Wed-Fri-Sat,0,1,1,0,1,1,0,20251219,20260119
Tue-Wed-Fri-Sun,0,1,1,0,1,0,1,20251219,20260119
Tue-Wed-Fri,0,1,1,0,1,0,0,20251219,20260119
Tue-Wed-Sat-Sun,0,1,1,0,0,1,1,20251219,20260119
Tue-Wed-Sat,0,1,1,0,0,1,0,20251219,20260119
Tue-Wed-Sun,0,1,1,0,0,0,1,20251219,20260119
Tue-Wed,0,1,1,0,0,0,0,20251219,20260119
Tue-Thu-Fri-Sat,0,1,0,1,1,1,0,20251219,20260119
Tue-Thu-Fri-Sun,0,1,0,1,1,0,1,20251219,20260119
Tue-Thu-Fri,0,1,0,1,1,0,0,20251219,20260119
Tue-Thu-Sat-Sun,0,1,0,1,0,1,1,20251219,20260119
Tue-Thu-Sat,0,1,0,1,0,1,0,20251219,20260119
Tue-Thu-Sun,0,1,0,1,0,0,1,20251219,20260119
Tue-Thu,0,1,0,1,0,0,0,20251219,20260119
Tue-Fri-Sat-Sun,0,1,0,0,1,1,1,20251219,20260119
Tue-Fri-Sat,0,1,0,0,1,1,0,20251219,20260119
Tue-Fri-Sun,0,1,0,0,1,0,1,20251219,20260119
Tue-Fri,0,1,0,0,1,0,0,20251219,20260119
Tue-Sat-Sun,0,1,0,0,0,1,1,20251219,20260119
Tue-Sat,0,1,0,0,0,1,0,20251219,20260119
Tue-Sun,0,1,0,0,0,0,1,20251219,20260119
Tue,0,1,0,0,0,0,0,20251219,20260119
Wed-Thu-Fri-Sat-Sun,0,0,1,1,1,1,1,20251219,20260119
Wed-Thu-Fri-Sat,0,0,1,1,1,1,0,20251219,20260119
Wed-Thu-Fri-Sun,0,0,1,1,1,0,1,20251219,20260119
Wed-Thu-Fri,0,0,1,1,1,0,0,20251219,20260119
Wed-Thu-Sat-Sun,0,0,1,1,0,1,1,20251219,20260119
Wed-Thu-Sat,0,0,1,1,0,1,0,20251219,20260119
Wed-Thu-Sun,0,0,1,1,0,0,1,20251219,20260119
Wed-Thu,0,0,1,1,0,0,0,20251219,20260119
Wed-Fri-Sat-Sun,0,0,1,0,1,1,1,20251219,20260119
Wed-Fri-Sat,0,0,1,0,1,1,0,20251219,20260119
Wed-Fri-Sun,0,0,1,0,1,0,1,20251219,20260119
Wed-Fri,0,0,1,0,1,0,0,20251219,20260119
Wed-Sat-Sun,0,0,1,0,0,1,1,20251219,20260119
Wed-Sat,0,0,1,0,0,1,0,20251219,20260119
Wed-Sun,0,0,1,0,0,0,1,20251219,20260119
Wed,0,0,1,0,0,0,0,20251219,20260119
Thu-Fri-Sat-Sun,0,0,0,1,1,1,1,20251219,20260119
Thu-Fri-Sat,0,0,0,1,1,1,0,20251219,20260119
Thu-Fri-Sun,0,0,0,1,1,0,1,20251219,20260119
Thu-Fri,0,0,0,1,1,0,0,20251219,20260119
Thu-Sat-Sun,0,0,0,1,0,1,1,20251219,20260119
Thu-Sat,0,0,0,1,0,1,0,20251219,20260119
Thu-Sun,0,0,0,1,0,0,1,20251219,20260119
Thu,0,0,0,1,0,0,0,20251219,20260119
Fri-Sat-Sun,0,0,0,0,1,1,1,20251219,20260119
Fri-Sat,0,0,0,0,1,1,0,20251219,20260119
Fri-Sun,0,0,0,0,1,0,1,20251219,20260119
Fri,0,0,0,0,1,0,0,20251219,20260119
Sat-Sun,0,0,0,0,0,1,1,20251219,20260119
Sat,0,0,0,0,0,1,0,20251219,20260119
Sun,0,0,0,0,0,0,1,20251219,20260119
